1,John,Doe,50000,5000,2000,55000,53000,55000,53000,55000,53000
72,Elijah,Wilson,50000,5000,2000,55000,53000,55000,53000,55000,53000
9,James,Rodriguez,50000,5000,2000,55000,53000,55000,53000,55000,53000
101,James,Smith,51000,5100,2100,56100,54000,56100,54000,56100,54000
80,Nicholas,Martinez,53000,5300,2100,58300,56200,58300,56200,58300,56200
248,Henry,Wright,53000,5300,2100,58300,56200,58300,56200,58300,56200
153,Henry,Johnson,53000,5300,2200,58300,56100,58300,56100,58300,56100
11,Daniel,Lopez,53000,5300,2100,58300,56200,58300,56200,58300,56200
230,Sofia,Johnson,53000,5300,2100,58300,56200,58300,56200,58300,56200
89,Oliver,Williams,53000,5300,2100,58300,56200,58300,56200,58300,56200
220,James,Brown,53000,5300,2100,58300,56200,58300,56200,58300,56200
110,Isabella,Wilson,53000,5300,2100,58300,56200,58300,56200,58300,56200
202,Amelia,Rodriguez,53000,5300,2100,58300,56200,58300,56200,58300,56200
174,Mia,Thompson,53000,5300,2100,58300,56200,58300,56200,58300,56200
194,Elijah,Wright,53000,5300,2100,58300,56200,58300,56200,58300,56200
104,Laura,Martinez,53000,5300,2200,58300,56100,58300,56100,58300,56100
130,Hannah,Young,53000,5300,2200,58300,56100,58300,56100,58300,56100
154,Ethan,Clark,53000,5300,2100,58300,56200,58300,56200,58300,56200
172,Chloe,Johnson,53000,5300,2100,58300,56200,58300,56200,58300,56200
39,Daniel,Stewart,53000,5300,2100,58300,56200,58300,56200,58300,56200
56,Lauren,Roberts,53000,5300,2100,58300,56200,58300,56200,58300,56200
268,Sarah,Taylor,53000,5300,2100,58300,56200,58300,56200,58300,56200
133,Ryan,Johnson,54000,5400,2100,59400,57300,59400,57300,59400,57300
237,Matthew,Johnson,54000,5400,2100,59400,57300,59400,57300,59400,57300
223,James,Thompson,54000,5400,2100,59400,57300,59400,57300,59400,57300
99,Henry,Thompson,54000,5400,2100,59400,57300,59400,57300,59400,57300
216,Chloe,Martin,54000,5400,2100,59400,57300,59400,57300,59400,57300
203,Katherine,Martin,54000,5400,2100,59400,57300,59400,57300,59400,57300
73,Sofia,White,54000,5400,2100,59400,57300,59400,57300,59400,57300
191,Madison,Lopez,54000,5400,2100,59400,57300,59400,57300,59400,57300
188,Oliver,Johnson,54000,5400,2100,59400,57300,59400,57300,59400,57300
175,Nicholas,Anderson,54000,5400,2100,59400,57300,59400,57300,59400,57300
268,Kate,Thompson,54000,5400,2100,59400,57300,59400,57300,59400,57300
133,Victoria,Martinez,54000,5400,2100,59400,57300,59400,57300,59400,57300
3,Bob,Johnson,55000,5500,2200,60500,58300,60500,58300,60500,58300
14,Megan,Thomas,55000,5500,2200,60500,58300,60500,58300,60500,58300
112,David,Garcia,55000,5500,2200,60500,58300,60500,58300,60500,58300
141,Andrew,Clark,55000,5500,2200,60500,58300,60500,58300,60500,58300
124,Chloe,Scott,55000,5500,2200,60500,58300,60500,58300,60500,58300
62,Ronald,Clark,55000,5500,2200,60500,58300,60500,58300,60500,58300
48,Nicholas,Moore,55000,5500,2200,60500,58300,60500,58300,60500,58300
35,Kimberly,Roberts,55000,5500,2200,60500,58300,60500,58300,60500,58300
184,Megan,Smith,55000,5500,2200,60500,58300,60500,58300,60500,58300
173,Victoria,Roberts,55000,5500,2200,60500,58300,60500,58300,60500,58300
69,Aidan,Miller,56000,5600,2400,61600,59200,61600,59200,61600,59200
116,Elijah,Torres,56000,5600,2400,61600,59200,61600,59200,61600,59200
212,Matthew,Sanchez,56000,5600,2400,61600,59200,61600,59200,61600,59200
138,Sarah,Anderson,56000,5600,2400,61600,59200,61600,59200,61600,59200
123,Victoria,Thompson,56000,5600,2400,61600,59200,61600,59200,61600,59200
244,Henry,Wright,56000,5600,2400,61600,59200,61600,59200,61600,59200
19,William,Harris,56000,5600,2400,61600,59200,61600,59200,61600,59200
94,Ethan,Johnson,56000,5600,2400,61600,59200,61600,59200,61600,59200
46,Amy,Robinson,56000,5600,2400,61600,59200,61600,59200,61600,59200
161,Jessica,Miller,56000,5600,2400,61600,59200,61600,59200,61600,59200
259,Kate,Young,57000,5700,2300,62700,60400,62700,60400,62700,60400
117,Karen,Martin,57000,5700,2300,62700,60400,62700,60400,62700,60400
160,James,Brown,57000,5700,2300,62700,60400,62700,60400,62700,60400
146,Chloe,Scott,57000,5700,2300,62700,60400,62700,60400,62700,60400
219,Nicholas,Lopez,57000,5700,2300,62700,60400,62700,60400,62700,60400
25,Matthew,Sanchez,57000,5700,2300,62700,60400,62700,60400,62700,60400
282,Jessica,Thompson,57000,5700,2300,62700,60400,62700,60400,62700,60400
126,Amelia,White,57000,5700,2300,62700,60400,62700,60400,62700,60400
297,Nora,Clark,57000,5700,2300,62700,60400,62700,60400,62700,60400
346,Lily,Clark,57000,5700,2300,62700,60400,62700,60400,62700,60400
148,Matthew,Wilson,57000,5700,2300,62700,60400,62700,60400,62700,60400
206,Victoria,Martinez,57000,5700,2300,62700,60400,62700,60400,62700,60400
138,Avery,Davis,57000,5700,2300,62700,60400,62700,60400,62700,60400
316,Joshua,Wright,57000,5700,2300,62700,60400,62700,60400,62700,60400
76,Samuel,Thompson,57000,5700,2300,62700,60400,62700,60400,62700,60400
36,Benjamin,Torres,57000,5700,2300,62700,60400,62700,60400,62700,60400
208,James,Moore,57000,5700,2300,62700,60400,62700,60400,62700,60400
175,Alexander,Moore,57000,5700,2300,62700,60400,62700,60400,62700,60400
727,Liam,Brown,58000,5800,2300,63800,61500,63800,61500,63800,61500
608,Liam,Anderson,58000,5800,2300,63800,61500,63800,61500,63800,61500
446,Katherine,Brown,58000,5800,2300,63800,61500,63800,61500,63800,61500
600,James,Robinson,58000,5800,2300,63800,61500,63800,61500,63800,61500
987,Katherine,Brown,58000,5800,2300,63800,61500,63800,61500,63800,61500
455,Megan,Sanchez,58000,5800,2300,63800,61500,63800,61500,63800,61500
594,Liam,Brown,58000,5800,2300,63800,61500,63800,61500,63800,61500
735,Chloe,Clark,58000,5800,2300,63800,61500,63800,61500,63800,61500
898,Avery,Walker,58000,5800,2300,63800,61500,63800,61500,63800,61500
464,Kimberly,Hernandez,58000,5800,2300,63800,61500,63800,61500,63800,61500
86,Matthew,Nelson,58000,5800,2300,63800,61500,63800,61500,63800,61500
588,Chloe,Hernandez,58000,5800,2300,63800,61500,63800,61500,63800,61500
